series,date,type,value
abs,2015-01-01,e0,281643.0
abs,2015-01-01,e1,152097.0
abs,2015-01-01,e1.1.01,33974.0
abs,2015-01-01,e1.1.03,4284.0
abs,2015-01-01,e1.1.04,24465.0
abs,2015-01-01,e1.1.05,8437.0
abs,2015-01-01,e1.1.07,20135.0
abs,2015-01-01,e1.1.08,12129.0
abs,2015-01-01,e1.1.09,9984.0
abs,2015-01-01,e1.1.11,15890.0
abs,2015-01-01,e1.1.12,22799.0
abs,2015-01-01,e2,32733.0
abs,2015-01-01,e3,75576.0
abs,2015-01-01,e3.1,75577.0
abs,2015-01-01,e3.1.1,42492.0
abs,2015-01-01,e3.1.2,26598.0
abs,2015-01-01,e3.1.3,6487.0
abs,2015-01-01,e3.2,75577.0
abs,2015-01-01,e3.2.1,24239.0
abs,2015-01-01,e3.2.2,51338.0
abs,2015-01-01,e4,-2431.0
abs,2015-01-01,e5,193829.0
abs,2015-01-01,e5.1,160537.0
abs,2015-01-01,e5.2,33292.0
abs,2015-01-01,e6,170162.0
abs,2015-01-01,e6.1,133468.0
abs,2015-01-01,e6.2,36694.0
abs,2015-04-01,e0,288307.0
abs,2015-04-01,e1,154317.0
abs,2015-04-01,e1.1.01,33104.0
abs,2015-04-01,e1.1.03,4691.0
abs,2015-04-01,e1.1.04,25021.0
abs,2015-04-01,e1.1.05,8330.0
abs,2015-04-01,e1.1.07,19463.0
abs,2015-04-01,e1.1.08,12353.0
abs,2015-04-01,e1.1.09,10463.0
abs,2015-04-01,e1.1.11,15949.0
abs,2015-04-01,e1.1.12,24944.0
abs,2015-04-01,e2,34963.0
abs,2015-04-01,e3,77719.0
abs,2015-04-01,e3.1,77719.0
abs,2015-04-01,e3.1.1,45420.0
abs,2015-04-01,e3.1.2,24775.0
abs,2015-04-01,e3.1.3,7524.0
abs,2015-04-01,e3.2,77719.0
abs,2015-04-01,e3.2.1,20790.0
abs,2015-04-01,e3.2.2,56929.0
abs,2015-04-01,e4,2776.0
abs,2015-04-01,e5,194754.0
abs,2015-04-01,e5.1,162224.0
abs,2015-04-01,e5.2,32530.0
abs,2015-04-01,e6,176221.0
abs,2015-04-01,e6.1,138813.0
abs,2015-04-01,e6.2,37408.0
abs,2015-07-01,e0,297422.0
abs,2015-07-01,e1,165970.0
abs,2015-07-01,e1.1.01,36843.0
abs,2015-07-01,e1.1.03,5681.0
abs,2015-07-01,e1.1.04,25386.0
abs,2015-07-01,e1.1.05,9039.0
abs,2015-07-01,e1.1.07,22672.0
abs,2015-07-01,e1.1.08,12407.0
abs,2015-07-01,e1.1.09,10997.0
abs,2015-07-01,e1.1.11,16467.0
abs,2015-07-01,e1.1.12,26479.0
abs,2015-07-01,e2,35949.0
abs,2015-07-01,e3,75995.0
abs,2015-07-01,e3.1,75996.0
abs,2015-07-01,e3.1.1,43691.0
abs,2015-07-01,e3.1.2,25319.0
abs,2015-07-01,e3.1.3,6986.0
abs,2015-07-01,e3.2,75996.0
abs,2015-07-01,e3.2.1,23971.0
abs,2015-07-01,e3.2.2,52025.0
abs,2015-07-01,e4,-2080.0
abs,2015-07-01,e5,209068.0
abs,2015-07-01,e5.1,174611.0
abs,2015-07-01,e5.2,34457.0
abs,2015-07-01,e6,187481.0
abs,2015-07-01,e6.1,147139.0
abs,2015-07-01,e6.2,40341.0
abs,2015-10-01,e0,309569.0
abs,2015-10-01,e1,162715.0
abs,2015-10-01,e1.1.01,34647.0
abs,2015-10-01,e1.1.03,5351.0
abs,2015-10-01,e1.1.04,24512.0
abs,2015-10-01,e1.1.05,8514.0
abs,2015-10-01,e1.1.07,22983.0
abs,2015-10-01,e1.1.08,12491.0
abs,2015-10-01,e1.1.09,11832.0
abs,2015-10-01,e1.1.11,17849.0
abs,2015-10-01,e1.1.12,24536.0
abs,2015-10-01,e2,50375.0
abs,2015-10-01,e3,75133.0
abs,2015-10-01,e3.1,75133.0
abs,2015-10-01,e3.1.1,42637.0
abs,2015-10-01,e3.1.2,25708.0
abs,2015-10-01,e3.1.3,6788.0
abs,2015-10-01,e3.2,75134.0
abs,2015-10-01,e3.2.1,37275.0
abs,2015-10-01,e3.2.2,37859.0
abs,2015-10-01,e4,-3460.0
abs,2015-10-01,e5,219720.0
abs,2015-10-01,e5.1,183903.0
abs,2015-10-01,e5.2,35817.0
abs,2015-10-01,e6,194914.0
abs,2015-10-01,e6.1,152630.0
abs,2015-10-01,e6.2,42284.0
abs,2016-01-01,e0,295016.0
abs,2016-01-01,e1,164480.0
abs,2016-01-01,e1.1.01,37313.0
abs,2016-01-01,e1.1.03,4656.0
abs,2016-01-01,e1.1.04,26903.0
abs,2016-01-01,e1.1.05,9086.0
abs,2016-01-01,e1.1.07,21242.0
abs,2016-01-01,e1.1.08,13355.0
abs,2016-01-01,e1.1.09,10604.0
abs,2016-01-01,e1.1.11,17451.0
