Bil	No. Pend.	Test (65)	Test (20%)	P1(15)	P1 (20%)	Carry mark (40%)
1	P146216	53.5	16.5	12.0	16.0	32.5
2	P146217	19.5	6.0	12.5	16.7	22.7
3	P146219	39.0	12.0	12.5	16.7	28.7
4	P146222	27.5	8.5	12.0	16.0	24.5
5	P146223	22.5	6.9	10.5	14.0	20.9
6	P146224	35.0	10.8	10.5	14.0	24.8
7	P146737	55.0	16.9	11.5	15.3	32.3
8	P146854	24.0	7.4	10.5	14.0	21.4
9	P149789	42.0	12.9	12.0	16.0	28.9
10	P149790	30.5	9.4	9.0	12.0	21.4
11	P152417	21.5	6.6	9.0	12.0	18.6
12	P152419	52.0	16.0	12.5	16.7	32.7
13	P152420	25.5	7.8	12.5	16.7	24.5
14	P153109	45.0	13.8	12.0	16.0	29.8
15	P153110	55.5	17.1	11.5	15.3	32.4
16	P153112	35.0	10.8	12.5	16.7	27.4
17	P153125	39.5	12.2	13.0	17.3	29.5
18	P153146	49.5	15.2	13.0	17.3	32.6
19	P153870	58.0	17.8	12.5	16.7	34.5
20	P153944	39.0	12.0	10.5	14.0	26.0
